,dQALY,Centers,"WTP of 1 GDP Per Capita","Base Prime","Prevention 1","Prevention 2",Frontier
,51990,,,,,,
,56417,,,,,,
,44179,,,,,,
,35615,,,,,,
,40436,,,,,,
,32732,,,,,,
,26526,,,,,,
,41480,,,,,,
,32442,,,,,,
,56014,,,,,,
,55047,,,,,,
,39084,,,,,,
,54119,,,,,,
,37850,,,,,,
,65224,,,,,,
,71507,,,,,,
,28478,,,,,,
,34097,,,,,,
,40336,,,,,,
,39433,,,,,,
,18235,,,,,,
,78432,,,,,,
,38640,,,,,,
,51700,,,,,,
,56532,,,,,,
,45860,,,,,,
,44243,,,,,,
,41203,,,,,,
,47761,,,,,,
,52061,,,,,,
,22738,,,,,,
,31896,,,,,,
,37251,,,,,,
,56969,,,,,,
,36673,,,,,,
,34430,,,,,,
,43777,,,,,,
,61830,,,,,,
,22051,,,,,,
,67500,,,,,,
,48579,,,,,,
,29195,,,,,,
,51009,,,,,,
,58794,,,,,,
,19331,,,,,,
,54748,,,,,,
,48920,,,,,,
