"Careful Sex, 15-19","Careful Sex, 20-24","Careful Sex, 25-29","Careful Sex, 30-34","Careful Sex, 35-39","Careful Sex, 40- 44","Unsafe Sex, 15-19","Unsafe Sex, 20-24","Unsafe Sex, 25-29","Unsafe Sex, 30-34","Unsafe Sex, 35-39","Unsafe Sex, 40-44",Seeking Pregnancy,Pregnant
,20,25,3,2,48,,,,,,,,
,5,7,10,2,2,,,,,,,,
,1,10,4,6,2,,,,,,,,
,35,4,7,4,0,,,,,,,,
,1,10,2,10,5,,,,,,,,
,20,2,0,0,4,,,,,,,,
,3,6,12,10,14,,,,,,,,
,10,3,1,10,1,,,,,,,,
,2,16,3,5,0,,,,,,,,
,20,4,0,4,5,,,,,,,,
,11,14,1,1,6,,,,,,,,
,0,10,0,3,4,,,,,,,,
,16,20,20,16,6,,,,,,,,
,0,3,2,13,0,,,,,,,,
,6,7,10,12,4,,,,,,,,
,3,6,4,30,3,,,,,,,,
,2,3,6,7,5,,,,,,,,
,0,0,10,10,0,,,,,,,,
,5,10,0,3,12,,,,,,,,
,2,25,0,1,0,,,,,,,,
,20,0,28,2,0,,,,,,,,
,0,4,4,3,2,,,,,,,,
,5,2,20,0,4,,,,,,,,
,7,10,4,28,8,,,,,,,,
,7,5,5,8,,,,,,,,,
,15,8,3,28,3,,,,,,,,
,0,15,12,0,2,,,,,,,,
,,3,6,6,2,,,,,,,,
,20,2,15,0,11,,,,,,,,
,30,0,4,2,7,,,,,,,,
,10,3,3,6,12,,,,,,,,
,35,0,8,2,0,,,,,,,,
,20,2,4,4,6,,,,,,,,
,8,5,15,8,5,,,,,,,,
,2,4,8,10,5,,,,,,,,
,3,4,1,1,1,,,,,,,,
,2,10,1,10,4,,,,,,,,
,3,15,2,10,16,,,,,,,,
,10,3,6,8,1,,,,,,,,
,0,0,15,3,0,,,,,,,,
,2,2,5,2,3,,,,,,,,
,4,7,20,2,8,,,,,,,,
,0,1,3,15,1,,,,,,,,
,6,12,1,10,0,,,,,,,,
,12,8,10,1,3,,,,,,,,
,10,4,5,20,15,,,,,,,,
,5,3,10,9,2,,,,,,,,
,50,1,0,5,0,,,,,,,,
,5,8,3,8,12,,,,,,,,
,0,21,20,6,8,,,,,,,,
,1,4,2,4,4,,,,,,,,
,10,6,3,2,30,,,,,,,,
,30,8,3,3,12,,,,,,,,
,5,12,12,2,4,,,,,,,,
,24,4,9,2,8,,,,,,,,
,20,1,8,12,20,,,,,,,,
,4,1,3,3,4,,,,,,,,
,10,28,9,3,4,,,,,,,,
,4,1,2,7,2,,,,,,,,
,15,0,10,2,1,,,,,,,,
,5,0,10,4,4,,,,,,,,
,20,0,1,5,2,,,,,,,,
,10,0,7,5,1,,,,,,,,
,5,4,6,10,8,,,,,,,,
,3,1,11,4,4,,,,,,,,
,5,6,10,0,5,,,,,,,,
,1,0,12,12,1,,,,,,,,
,10,0,8,3,10,,,,,,,,
,8,8,4,4,1,,,,,,,,
,5,15,12,15,3,,,,,,,,
,10,0,5,10,0,,,,,,,,
,0,2,2,0,8,,,,,,,,
,3,6,1,5,2,,,,,,,,
,5,5,5,4,8,,,,,,,,
,0,10,5,20,8,,,,,,,,
,5,2,2,2,0,,,,,,,,
,8,10,0,30,16,,,,,,,,
,9,28,2,6,3,,,,,,,,
,10,8,12,5,6,,,,,,,,
,1,4,10,2,1,,,,,,,,
,0,3,6,0,4,,,,,,,,
,6,6,1,10,12,,,,,,,,
,10,4,1,28,4,,,,,,,,
,14,0,5,8,0,,,,,,,,
,1,10,1,10,0,,,,,,,,
,12,5,6,15,4,,,,,,,,
,3,12,4,1,0,,,,,,,,
,12,0,4,10,2,,,,,,,,
,1,6,5,0,9,,,,,,,,
,10,1,10,3,10,,,,,,,,
,12,0,15,2,1,,,,,,,,
,0,4,1,10,1,,,,,,,,
,10,3,6,0,3,,,,,,,,
,,2,15,2,0,,,,,,,,
,8,4,28,10,4,,,,,,,,
,4,4,6,0,28,,,,,,,,
,16,20,4,8,5,,,,,,,,
,10,8,0,6,2,,,,,,,,
,5,10,1,15,,,,,,,,,
,3,2,3,3,,,,,,,,,
,1,2,10,17,,,,,,,,,
,1,1,6,0,,,,,,,,,
,1,0,4,0,,,,,,,,,
,15,4,20,0,,,,,,,,,
,20,15,5,4,,,,,,,,,
,40,0,12,17,,,,,,,,,
,3,8,6,5,,,,,,,,,
,0,15,6,5,,,,,,,,,
,5,20,8,7,,,,,,,,,
,11,6,10,10,,,,,,,,,
,2,10,7,0,,,,,,,,,
,3,3,,2,,,,,,,,,
,10,8,30,12,,,,,,,,,
,1,5,7,5,,,,,,,,,
,5,3,2,5,,,,,,,,,
,8,,12,20,,,,,,,,,
,2,16,1,12,,,,,,,,,
,8,5,3,10,,,,,,,,,
,3,10,5,1,,,,,,,,,
,1,4,12,8,,,,,,,,,
,6,0,15,0,,,,,,,,,
,0,1,12,2,,,,,,,,,
,15,8,14,12,,,,,,,,,
,10,0,2,3,,,,,,,,,
,2,7,4,5,,,,,,,,,
,6,4,5,6,,,,,,,,,
,2,2,20,4,,,,,,,,,
